"t","CO2","H2","formic_acid","formaldehyde","methanol","CO","acetic_acid","H2O"
2.98600245949659e-07,4906,4905,93,1,0,0,0,1
3.00366414323405e-07,4905,4904,94,1,0,0,0,1
3.02765482279386e-07,4904,4903,95,1,0,0,0,1
3.05718443785825e-07,4903,4902,96,1,0,0,0,1
3.06795240027883e-07,4902,4901,97,1,0,0,0,1
3.25635755784163e-07,4901,4900,98,1,0,0,0,1
3.25845152659655e-07,4900,4899,99,1,0,0,0,1
3.28048600547932e-07,4899,4898,100,1,0,0,0,1
3.31685357964022e-07,4898,4897,101,1,0,0,0,1
3.34731810277354e-07,4897,4896,102,1,0,0,0,1
3.4568787362475e-07,4896,4895,103,1,0,0,0,1
3.45781315808983e-07,4895,4894,104,1,0,0,0,1
3.45808162155785e-07,4894,4893,105,1,0,0,0,1
3.52409743237018e-07,4893,4892,106,1,0,0,0,1
3.61723702354663e-07,4892,4891,107,1,0,0,0,1
3.67904174220021e-07,4891,4890,108,1,0,0,0,1
3.70718114562879e-07,4890,4889,109,1,0,0,0,1
3.73175206924878e-07,4889,4888,110,1,0,0,0,1
3.85639393813053e-07,4888,4887,111,1,0,0,0,1
3.96422301700815e-07,4887,4886,112,1,0,0,0,1
3.9725682046849e-07,4886,4885,113,1,0,0,0,1
4.01232334702462e-07,4885,4884,114,1,0,0,0,1
4.01474709248335e-07,4884,4883,115,1,0,0,0,1
4.05128643993488e-07,4883,4882,116,1,0,0,0,1
4.0879932459183e-07,4882,4881,117,1,0,0,0,1
4.09451837635644e-07,4881,4880,118,1,0,0,0,1
4.13683077845461e-07,4881,4879,117,2,0,0,0,2
4.18400688759138e-07,4880,4878,118,2,0,0,0,2
4.207678052765e-07,4879,4877,119,2,0,0,0,2
4.22615592437698e-07,4878,4876,120,2,0,0,0,2
4.30591557644365e-07,4877,4875,121,2,0,0,0,2
4.34647750494832e-07,4876,4874,122,2,0,0,0,2
4.36648824199373e-07,4875,4873,123,2,0,0,0,2
4.46402018870657e-07,4874,4872,124,2,0,0,0,2
4.46938145802184e-07,4873,4871,125,2,0,0,0,2
4.47682762652621e-07,4872,4870,126,2,0,0,0,2
4.53185107514453e-07,4871,4869,127,2,0,0,0,2
4.53990678341844e-07,4870,4868,128,2,0,0,0,2
4.60822518811281e-07,4869,4867,129,2,0,0,0,2
4.63164553595176e-07,4868,4866,130,2,0,0,0,2
4.66149421463993e-07,4867,4865,131,2,0,0,0,2
4.67691509595062e-07,4866,4864,132,2,0,0,0,2
4.71211761576069e-07,4865,4863,133,2,0,0,0,2
4.75274337276611e-07,4865,4862,132,3,0,0,0,3
4.81515131104778e-07,4864,4861,133,3,0,0,0,3
4.91217050811557e-07,4863,4860,134,3,0,0,0,3
4.96703701130123e-07,4862,4859,135,3,0,0,0,3
5.0367306680173e-07,4862,4858,134,4,0,0,0,4
5.0750341553871e-07,4861,4857,135,4,0,0,0,4
5.18054265884172e-07,4860,4856,136,4,0,0,0,4
5.22631341269168e-07,4859,4855,137,4,0,0,0,4
5.25598453264899e-07,4858,4854,138,4,0,0,0,4
5.25896645913745e-07,4857,4853,139,4,0,0,0,4
5.3062990090481e-07,4857,4852,138,5,0,0,0,5
5.33986523244929e-07,4856,4851,139,5,0,0,0,5
5.37182112098897e-07,4855,4850,140,5,0,0,0,5
5.44605237662205e-07,4854,4849,141,5,0,0,0,5
5.45421541098413e-07,4854,4848,140,6,0,0,0,6
5.56259636274245e-07,4853,4847,141,6,0,0,0,6
5.62327007256978e-07,4852,4846,142,6,0,0,0,6
5.73163806238298e-07,4851,4845,143,6,0,0,0,6
5.76893059395847e-07,4850,4844,144,6,0,0,0,6
5.81481984665997e-07,4849,4843,145,6,0,0,0,6
5.82274322784556e-07,4848,4842,146,6,0,0,0,6
5.88267716337014e-07,4847,4841,147,6,0,0,0,6
5.89905515153402e-07,4846,4840,148,6,0,0,0,6
5.90879228209124e-07,4845,4839,149,6,0,0,0,6
6.02003952033085e-07,4844,4838,150,6,0,0,0,6
6.1146368467939e-07,4843,4837,151,6,0,0,0,6
6.13535900718956e-07,4842,4836,152,6,0,0,0,6
6.14939054879155e-07,4841,4835,153,6,0,0,0,6
6.16514469381477e-07,4840,4834,154,6,0,0,0,6
6.16836678158415e-07,4839,4833,155,6,0,0,0,6
6.17885012525979e-07,4838,4832,156,6,0,0,0,6
6.183001799803e-07,4837,4831,157,6,0,0,0,6
6.21225901803782e-07,4836,4830,158,6,0,0,0,6
6.22869578057052e-07,4835,4829,159,6,0,0,0,6
6.24546838568803e-07,4834,4828,160,6,0,0,0,6
6.25670309803054e-07,4833,4827,161,6,0,0,0,6
